audio_file;transcription;translation
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000028_000000.wav;"""How did you come here?""";
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88291\6841_88291_000009_000005.wav;When once you have had the wind knocked out of you, or a rib or two broken, you cease to think this unnecessarily rough.;
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000051_000000.wav;"""A carpenter! what do you mean?""";
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000020_000000.wav;After running at high speed perhaps half a mile farther, it occurred to her that it would be safe now to turn to the west, and, by a wide circuit, seek her fawn.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000057_000000.wav;"""Polly is making her have beautiful times,"" said Phronsie happily, ""oh, very beautiful times indeed, Grandpapa.""";
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000012_000000.wav;"Four years before, when Sidney was sixteen, still calling herself a schoolgirl by reason of the fact that she could be spared to attend school four months in the winter when work was slack, she had been much interested in the ""Maple Leaf"" department of the Montreal weekly her uncle took.";
opus_datasets/extracted/LibriTTS_R/dev-other\116\288047\116_288047_000004_000005.wav;Myths die when history is born.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000065_000001.wav;"""There, there, my sister's boy shall never say that.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000029_000002.wav;"On the following day, Lady Anna was with him as usual; for the pretext of his wound still afforded to her the means of paying to him those daily visits which in happier circumstances he would naturally have paid to her.";
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000034_000002.wav;Wilson, mrs Evans, and k left at Heads and back in Harbour Tug.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000028_000013.wav;Have these prayers been answered?;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96252\7641_96252_000010_000002.wav;He recognises himself, his will, in every being, and consequently also in the sufferer.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000048_000004.wav;He passed down the lane and over the little rustic bridge that spanned the brook.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000043_000000.wav;"""My head is better now.";
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50963\5849_50963_000016_000000.wav;"""Then it was well worth all your sacrifice?"" said mr Minturn.";
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000059_000011.wav;Thank God, the gale is abating.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000049_000000.wav;The 'night porter' thanked him and left the room, and he soon heard her snoring from the adjoining apartment.;
opus_datasets/extracted/LibriTTS_R/dev-other\7601\291468\7601_291468_000005_000001.wav;It was observed by a great projector of inland lock navigation, that rivers, lakes, and oceans were only formed to feed canals.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\53049\6267_53049_000013_000000.wav;When Doris reached home the next evening, she found Penelope hovering over a bulky parcel on the sitting room table.;
opus_datasets/extracted/LibriTTS_R/dev-other\1585\131718\1585_131718_000026_000006.wav;I remember as a coincidence that the building was only twenty feet wide.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\53049\6267_53049_000049_000001.wav;Now she patted mrs Fairweather's soft old hand affectionately.;
opus_datasets/extracted/LibriTTS_R/dev-other\6599\38591\6599_38591_000000_000000.wav;He did not find such as have deserved a place in history.;
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000024_000000.wav;Lelechka was getting nearer her mother's corner.;
opus_datasets/extracted/LibriTTS_R/dev-other\7697\105817\7697_105817_000019_000003.wav;Shall we let Giant Despair rule us?;
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000065_000000.wav;Raoul struck his forehead with his hand in utter despair.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172182\3660_172182_000011_000014.wav;And from that time she became his wife.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000008_000000.wav;'Why not?' he inquired.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000065_000000.wav;We talked the matter over at length.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96684\7641_96684_000047_000000.wav;"""Raise her veil, Admetus,"" said Heracles.";
opus_datasets/extracted/LibriTTS_R/dev-other\8254\115543\8254_115543_000025_000001.wav;The driver sat on the neck of the elephant and guided the big beast by prodding him on one side or the other with an iron shod stick or goad.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000013_000001.wav;"There, they are coming after us,"" as quick footsteps sounded in the hall below. ""Hurry, Charlotte, do.";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\141772\1630_141772_000039_000000.wav;The quiet home life and peaceful happiness of Bald Hills presented itself to him.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000054_000002.wav;He felt that she was frightened and in trouble, and he wanted to comfort and reassure her.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000014_000000.wav;So that is how it happened that Monday afternoon, at the tent, the funeral service of Loreen was held before an immense audience that choked the tent and overflowed beyond all previous bounds.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000009_000006.wav;It was like listening to one end of a telephone, though we didn't know what telephones were in those days.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172528\3663_172528_000028_000000.wav;I composed the design of a reverse which seemed to me appropriate, and pressed the work forward to my best ability.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000075_000001.wav;A terrible uproar and confusion inside attracted the attention of everybody, so Captain Wadsworth escaped without being noticed, with the precious document under his arm. The youth was close behind him and, when they were outside, seized his arm.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141759\1701_141759_000037_000000.wav;"""What!";
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000019_000003.wav;In many of the religions of the world, the number twelve is sacred.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000063_000002.wav;"Come in; I never get one nowadays.""";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000027_000001.wav;"""But first, child, tell me what it is,"" and he stroked her yellow hair.";
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000016_000000.wav;The doe returned, stood by him, head erect and nostrils distended. Perhaps she was thinking.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000061_000000.wav;"""You have the permission of the officers?""";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000082_000000.wav;"""No, I think Phronsie ought to,"" said Polly, shaking her head.";
opus_datasets/extracted/LibriTTS_R/dev-other\7601\291468\7601_291468_000013_000000.wav;"I have known in my time many a genius of this stamp; but, to speak my mind freely, I never knew one who, for the ordinary purposes of life, was worth his weight in straw.";
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000062_000005.wav;I found it so fascinating, too!;
opus_datasets/extracted/LibriTTS_R/dev-other\6467\94831\6467_94831_000000_000001.wav;"""Oh, how do you do, mr Strong?"" and he ran to meet the head teacher.";
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96670\7641_96670_000036_000000.wav;"""I will dare this contest, monstrous as it is.";
opus_datasets/extracted/LibriTTS_R/dev-other\116\288047\116_288047_000005_000002.wav;And this is precisely the use to which myths have been put.;
opus_datasets/extracted/LibriTTS_R/dev-other\7697\245712\7697_245712_000000_000011.wav;Therefore the subjection of other animals to man is proved to be natural.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000064_000002.wav;When it ended, the governor of New York declared:;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288046\116_288046_000009_000006.wav;If I am not attracted by the vision of a distant heaven, it is because I believe in human happiness, now and here.;
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000076_000000.wav;"""Well, I admit it.";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000039_000000.wav;"""That the mistress does it, well, that's one thing; but that the young lady does it, that's bad.""";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122868\700_122868_000035_000000.wav;"""All right!"" Gilbert sprang into his skiff with an angry color in his cheeks.";
opus_datasets/extracted/LibriTTS_R/dev-other\1650\167613\1650_167613_000045_000002.wav;Why take prisoners?;
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000049_000006.wav;I don't know that he gave me much strength.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96684\7641_96684_000021_000002.wav;No, not here, for he would not have Death come into the palace.;
opus_datasets/extracted/LibriTTS_R/dev-other\4570\102353\4570_102353_000009_000001.wav;This was, that the officers selected purely on their military record did not constitute a roster conforming to that distribution among the different States, which, for political considerations, it was thought desirable to observe-that is to say, the number of such officers of Southern birth was found to be disproportionately great.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172182\3660_172182_000006_000003.wav;"""Lady,"" said he, ""at the gate there is a knight, and I saw never a man of so pitiful an aspect to look upon as he.";
opus_datasets/extracted/LibriTTS_R/dev-other\7601\175351\7601_175351_000031_000001.wav;"The wind veered round south towards evening; Hatteras ordered the brig to be put under sail and the fires to be put out; the crew had to work very hard for the next few days; they were more than a week getting to Barrow Point.";
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000065_000003.wav;"Finally, just at dusk the animals can be driven in for food and water, and-""";
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000053_000003.wav;At any rate, there is an opening, as I have said, for a private tutor.;
opus_datasets/extracted/LibriTTS_R/dev-other\1650\157641\1650_157641_000049_000005.wav;"It is terser and more to the point than most panegyrics: ""A pipe!";
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000003_000006.wav;In place of it he wore a sharp steel hook.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000042_000003.wav;All these cases are covered with stout tarpaulin and lashed with heavy chain and rope lashings, so that they may be absolutely secure.;
opus_datasets/extracted/LibriTTS_R/dev-other\8173\294714\8173_294714_000033_000000.wav;"""Promise that you won't ask me to borrow money of you for mr Van Brandt,"" she rejoined, ""and I will accept your help gratefully.""";
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000006_000005.wav;He sat up as though he'd been touched with a hot poker, stared around wild eyed, and cut loose with that song you were singing.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000007_000000.wav;It was a pretty picture,--maternal love on the one part, and happy trust on the other.;
